,Destination,Gare destination - code UIC,Prix par km
958,TARBES,87671008,0.09628784999366527
959,TGV HAUTE PICARDIE,87313882,0.01923563654770944
960,ALBERTVILLE,87741645,0.0720515737580584
961,THIONVILLE,87191007,0.03838383838383838
962,ANTIBES,87757674,0.08147307352755706
963,VENDOME VILLIERS SUR LOIR,87571216,0.02872260015117158
964,PARIS NORD,87271007,0.062161822071221846
965,ST GERVAIS LES BAINS LE FAYET,87746479,0.07164404223227752
966,MASSY TGV,87393702,0.038166980539861894
967,PARIS GARE DE LYON,87686006,0.0762478053674442
968,SARREBOURG,87215012,0.04760115244895403
969,THIONVILLE,87191007,0.07607607607607607
970,PARIS GARE DE LYON,87686006,0.0712410948631421
971,AVIGNON TGV,87318964,0.06641697877652934
972,STRASBOURG,87212027,0.06634243671280708
973,CHALON SUR SAONE,87725002,0.037867463876432486
974,ROUEN RIVE DROITE,87411017,0.07092198581560284
975,AIX LES BAINS LE REVARD,87741132,0.05667412378821775
976,SAVERNE,87212225,0.04717566728739914
977,TGV HAUTE PICARDIE,87313882,0.06597222222222222
978,ORTHEZ,87672253,0.04707048185309055
979,LILLE EUROPE,87223263,0.05642167780252413
980,ROUEN RIVE DROITE,87411017,0.018786305771845258
981,LYON PART DIEU,87723197,0.046913580246913576
982,TGV HAUTE PICARDIE,87313882,0.06560611666050067
983,ST NAZAIRE,87481705,0.07489529440748953
984,METZ VILLE,87192039,0.07481235388212132
985,BELFORT-MONTBELIARD TGV,87300822,0.03736479842674533
986,TOULOUSE MATABIAU,87611004,0.05598526703499079
987,TGV HAUTE PICARDIE,87313882,0.08854549914152564
988,QUIMPER,87474098,0.060516966801421046
989,PARIS GARE DE LYON,87686006,0.06045031815956926
990,LILLE EUROPE,87223263,0.06967363403006968
991,ARRAS,87342014,0.0463980463980464
992,BREST,87474007,0.09269423100378095
993,BEAUNE,87713545,0.027777777777777776
994,MONTPELLIER SAINT-ROCH,87773002,0.07399294146282098
995,ARRAS,87342014,0.05543398978847557
996,LA ROCHE SUR YON,87486019,0.07383120825743776
997,PARIS GARE DE LYON,87686006,0.06453178068898593
998,ANNEMASSE,87745497,0.07367018054040955
999,MARSEILLE ST CHARLES,87751008,0.06899055918663761
1000,DOUAI,87345009,0.08269858541893362
1001,ALBERTVILLE,87741645,0.07342995169082125
1002,BESANCON - F COMTE TGV,87300863,0.06876583423814694
1003,TARBES,87671008,0.0549530007230658
1004,LILLE EUROPE,87223263,0.08234019501625135
1005,NIMES PONT DU GARD,87703975,0.05483405483405483
1006,CARENTAN,87447243,0.07303303303303303
1007,TARBES,87671008,0.045596352291816654
1008,NIMES PONT DU GARD,87703975,0.0819848975188781
1009,ROUEN RIVE DROITE,87411017,0.06824712643678162
