,Transporteur,Gare origine,Gare origine - code UIC,Destination,Gare destination - code UIC,Classe,Profil tarifaire,Prix minimum,Prix maximum
14543,TGV INOUI,LYON PART DIEU,87723197,ARRAS,87342014,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
14544,TGV INOUI,NANTES,87481002,SABLE SUR SARTHE,87396408,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
14545,TGV INOUI,ANCENIS,87481192,LA BAULE ESCOUBLAC,87481754,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
14552,TGV INOUI,LE HAVRE,87413013,MASSY PALAISEAU,87393579,2,Tarif Elève - Etudiant - Apprenti,5.0,5.0
14555,TGV INOUI,ANGOULEME,87583005,DOUAI,87345009,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
14556,TGV INOUI,LANDRY,87741777,LISON,87447219,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14557,TGV INOUI,LA BAULE ESCOUBLAC,87481754,ST NAZAIRE,87481705,2,Tarif Elève - Etudiant - Apprenti,6.0,6.0
14558,TGV INOUI,AGEN,87586008,MASSY TGV,87393702,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
14559,TGV INOUI,LE MANS,87396002,LYON PART DIEU,87723197,2,Tarif Elève - Etudiant - Apprenti,22.0,22.0
14560,TGV INOUI,PORNICHET,87481747,NANTES,87481002,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
14562,TGV INOUI,LE HAVRE,87413013,MARSEILLE ST CHARLES,87751008,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14563,TGV INOUI,LIBOURNE,87584052,ST PIERRE DES CORPS,87571240,2,Tarif Elève - Etudiant - Apprenti,7.0,7.0
14564,TGV INOUI,DAX,87673202,MASSY TGV,87393702,2,Tarif Elève - Etudiant - Apprenti,15.0,15.0
14565,TGV INOUI,MOUTIERS SALINS BRIDES L BAINS,87741728,LISIEUX,87444265,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14566,TGV INOUI,ANGERS ST LAUD,87484006,LE POULIGUEN,87481762,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
14567,TGV INOUI,PARIS MONTPARNASSE 1 ET 2,87391003,ST MALO,87478107,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
14568,TGV INOUI,BAYEUX,87444067,MOUTIERS SALINS BRIDES L BAINS,87741728,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14569,TGV INOUI,BORDEAUX ST JEAN,87581009,POITIERS,87575001,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14570,TGV INOUI,CHAMBERY CHALLES LES EAUX,87741009,MASSY TGV,87393702,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
14572,TGV INOUI,ANGOULEME,87583005,CHATELLERAULT,87575142,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
14573,TGV INOUI,ARRAS,87342014,ST MICHEL VALLOIRE,87742361,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14574,TGV INOUI,VALOGNES,87447284,ALBERTVILLE,87741645,2,Tarif Elève - Etudiant - Apprenti,16.0,16.0
14575,TGV INOUI,LE POULIGUEN,87481762,NANTES,87481002,2,Tarif Elève - Etudiant - Apprenti,12.0,12.0
14578,TGV INOUI,FACTURE BIGANOS,87582478,POITIERS,87575001,2,Tarif Elève - Etudiant - Apprenti,18.0,18.0
14579,TGV INOUI,LYON PART DIEU,87723197,MASSY PALAISEAU,87393579,2,Tarif Elève - Etudiant - Apprenti,11.0,11.0
14583,TGV INOUI,MASSY TGV,87393702,AIME LA PLAGNE,87741769,2,Tarif Elève - Etudiant - Apprenti,14.0,14.0
