Transporteur;Gare origine;Gare origine - code UIC;Destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;DUNKERQUE;87281006;DOUAI;87345009;1;Tarif Normal;15.0;47.0
TGV INOUI;COLMAR;87182014;CANNES;87757625;1;Tarif Réglementé;197.0;197.0
TGV INOUI;NIMES;87775007;LILLE EUROPE;87223263;1;Tarif Réglementé;198.0;198.0
TGV INOUI;LA ROCHE SUR FORON;87746305;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Normal;44.0;109.0
TGV INOUI;STRASBOURG;87212027;MULHOUSE VILLE;87182063;1;Tarif Réglementé;36.0;36.0
TGV INOUI;LILLE EUROPE;87223263;BELLEGARDE;87745000;2;Tarif Normal;25.0;133.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;AGDE;87781278;2;Tarif Normal;25.0;131.0
TGV INOUI;COLMAR;87182014;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Normal;31.0;170.0
TGV INOUI;BORDEAUX ST JEAN;87581009;LILLE EUROPE;87223263;1;Tarif Réglementé;171.0;171.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;AGDE;87781278;2;Tarif Réglementé;101.9;120.0
TGV INOUI;COLMAR;87182014;ANTIBES;87757674;1;Tarif Normal;31.0;206.0
TGV INOUI;STRASBOURG;87212027;LE MANS;87396002;2;Tarif Réglementé;112.3;137.0
TGV INOUI;DUNKERQUE;87281006;HAZEBROUCK;87286302;1;Tarif Normal;6.0;20.5
TGV INOUI;MULHOUSE VILLE;87182063;NIMES;87775007;2;Tarif Réglementé;97.7;123.0
TGV INOUI;METZ VILLE;87192039;MARSEILLE ST CHARLES;87751008;2;Tarif Réglementé;102.9;128.0
TGV INOUI;DUNKERQUE;87281006;LILLE FLANDRES;87286005;1;Tarif Normal;25.0;32.0
TGV INOUI;MULHOUSE VILLE;87182063;MOUTIERS SALINS BRIDES L BAINS;87741728;2;Tarif Normal;25.0;102.0
TGV INOUI;LILLE EUROPE;87223263;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Normal;17.0;93.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;POITIERS;87575001;2;Tarif Réglementé;63.4;85.0
TGV INOUI;MULHOUSE VILLE;87182063;LANDRY;87741777;1;Tarif Normal;31.0;134.0
TGV INOUI;LILLE EUROPE;87223263;ST GERVAIS LES BAINS LE FAYET;87746479;2;Tarif Réglementé;110.2;132.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;ALBERTVILLE;87741645;2;Tarif Normal;25.0;130.0
TGV INOUI;AIX EN PROVENCE TGV;87319012;MONTBELIARD;87184523;2;Tarif Normal;25.0;106.0
TGV INOUI;LILLE EUROPE;87223263;ARRAS;87342014;1;Tarif Normal;19.0;25.0
TGV INOUI;EVREUX - NORMANDIE;87387001;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Normal;17.0;52.0
TGV INOUI;MULHOUSE VILLE;87182063;MARSEILLE ST CHARLES;87751008;2;Tarif Réglementé;102.9;128.0
TGV INOUI;LILLE EUROPE;87223263;LA SOUTERRAINE;87592378;2;Tarif Normal;25.0;117.0
TGV INOUI;LILLE EUROPE;87223263;SALLANCHES COMBLOUX MEGEVE;87746438;2;Tarif Réglementé;110.2;132.0
TGV INOUI;MULHOUSE VILLE;87182063;AIME LA PLAGNE;87741769;1;Tarif Normal;31.0;134.0
TGV INOUI;DUNKERQUE;87281006;LILLE EUROPE;87223263;1;Tarif Normal;25.0;32.0
TGV INOUI;LILLE FLANDRES;87286005;DOUAI;87345009;1;Tarif Réglementé;13.0;13.0
TGV INOUI;MULHOUSE VILLE;87182063;AIX EN PROVENCE TGV;87319012;2;Tarif Réglementé;102.9;128.0
TGV INOUI;LILLE EUROPE;87223263;MONTPELLIER SAINT-ROCH;87773002;1;Tarif Normal;36.0;213.0
TGV INOUI;PARIS NORD;87271007;ST GERVAIS LES BAINS LE FAYET;87746479;1;Tarif Normal;31.0;205.0
TGV INOUI;CULMONT CHALINDREY;87142125;TOULON;87755009;2;Tarif Normal;25.0;102.0
TGV INOUI;DIJON VILLE;87713040;PARIS NORD;87271007;1;Tarif Normal;19.0;109.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;VANNES;87476606;1;Tarif Normal;24.0;161.0
TGV INOUI;MULHOUSE VILLE;87182063;CANNES;87757625;2;Tarif Normal;25.0;153.0
TGV INOUI;LILLE EUROPE;87223263;LE CREUSOT MONTCEAU MONTCHANIN;87694109;1;Tarif Normal;31.0;166.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;LIBOURNE;87584052;1;Tarif Normal;24.0;157.0
TGV INOUI;MULHOUSE VILLE;87182063;CHAMBERY CHALLES LES EAUX;87741009;2;Tarif Normal;25.0;87.0
TGV INOUI;MODANE;87742007;PARIS NORD;87271007;2;Tarif Normal;25.0;128.0
TGV INOUI;LILLE FLANDRES;87286005;TOURCOING;87286542;2;Tarif Réglementé;4.3;4.3
TGV INOUI;RETHEL;87172270;SEDAN;87172254;1;Tarif Réglementé;23.0;23.0
TGV INOUI;MACON LOCHE TGV;87725705;PARIS NORD;87271007;2;Tarif Normal;20.0;91.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;BOURG ST MAURICE;87741793;1;Tarif Normal;31.0;196.0
TGV INOUI;MULHOUSE VILLE;87182063;MONTBARD;87713131;2;Tarif Réglementé;38.0;48.0
TGV INOUI;STRASBOURG;87212027;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Normal;17.0;61.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;SETE;87773200;1;Tarif Normal;31.0;192.0
TGV INOUI;CULMONT CHALINDREY;87142125;MACON VILLE;87725689;1;Tarif Normal;17.0;60.0
TGV INOUI;SAVERNE;87212225;TGV HAUTE PICARDIE;87313882;2;Tarif Normal;25.0;110.0
TGV INOUI;LILLE FLANDRES;87286005;AVIGNON TGV;87318964;2;Tarif Réglementé;124.8;144.0
TGV INOUI;MULHOUSE VILLE;87182063;LYON PERRACHE;87722025;2;Tarif Réglementé;65.5;81.0
TGV INOUI;GRENOBLE;87747006;PARIS NORD;87271007;2;Tarif Normal;25.0;121.0
TGV INOUI;DUNKERQUE;87281006;VALENCE VILLE;87761007;1;Tarif Normal;31.0;173.0
TGV INOUI;PARIS NORD;87271007;THIONVILLE;87191007;1;Tarif Réglementé;129.0;129.0
TGV INOUI;STRASBOURG;87212027;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Normal;25.0;118.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;MONTAUBAN VILLE BOURBON;87611244;1;Tarif Normal;31.0;200.0
TGV INOUI;EPINAL;87144006;PARIS NORD;87271007;2;Tarif Normal;25.0;92.0
TGV INOUI;LILLE EUROPE;87223263;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;30.0;128.0
TGV INOUI;LILLE EUROPE;87223263;BESANCON - F COMTE TGV;87300863;2;Tarif Normal;25.0;122.0
TGV INOUI;METZ VILLE;87192039;THIONVILLE;87191007;1;Tarif Réglementé;12.0;12.0
TGV INOUI;STRASBOURG;87212027;TGV HAUTE PICARDIE;87313882;2;Tarif Réglementé;91.5;114.0
TGV INOUI;LILLE FLANDRES;87286005;ST BRIEUC;87473009;2;Tarif Normal;48.0;119.0
TGV INOUI;MULHOUSE VILLE;87182063;TOULON;87755009;1;Tarif Normal;31.0;192.0
TGV INOUI;LILLE EUROPE;87223263;LIBOURNE;87584052;2;Tarif Normal;25.0;134.0
TGV INOUI;LILLE FLANDRES;87286005;LAMBALLE;87473108;1;Tarif Normal;54.0;161.0
TGV INOUI;METZ VILLE;87192039;MULHOUSE VILLE;87182063;1;Tarif Réglementé;78.0;78.0
TGV INOUI;LYON PART DIEU;87723197;SELESTAT;87214056;1;Tarif Normal;24.0;123.0
TGV INOUI;LYON-SAINT EXUPERY TGV;87762906;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Réglementé;78.0;100.0
TGV INOUI;MULHOUSE VILLE;87182063;LYON PERRACHE;87722025;2;Tarif Normal;20.0;85.0
TGV INOUI;TOURCOING;87286542;PARIS NORD;87271007;1;Tarif Normal;17.0;93.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;AIX LES BAINS LE REVARD;87741132;1;Tarif Normal;31.0;163.0
TGV INOUI;CULMONT CHALINDREY;87142125;CANNES;87757625;1;Tarif Normal;31.0;175.0
TGV INOUI;LILLE FLANDRES;87286005;PARIS NORD;87271007;1;Tarif Normal;17.0;93.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;NIMES PONT DU GARD;87703975;2;Tarif Réglementé;96.7;118.0
TGV INOUI;BESANCON VIOTTE;87718007;COLMAR;87182014;2;Tarif Normal;15.0;47.0
TGV INOUI;PARIS NORD;87271007;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;25.0;120.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;AIME LA PLAGNE;87741769;1;Tarif Normal;31.0;192.0
TGV INOUI;METZ VILLE;87192039;MACON VILLE;87725689;1;Tarif Normal;24.0;114.0
TGV INOUI;VENDOME VILLIERS SUR LOIR;87571216;SAVERNE;87212225;2;Tarif Normal;25.0;127.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;DOUAI;87345009;1;Tarif Normal;17.0;74.0
TGV INOUI;MARSEILLE ST CHARLES;87751008;MONTBELIARD;87184523;2;Tarif Normal;25.0;106.0
TGV INOUI;PARIS NORD;87271007;EVIAN LES BAINS;87745679;2;Tarif Normal;25.0;121.0
TGV INOUI;LILLE FLANDRES;87286005;ST AVRE LA CHAMBRE;87741306;2;Tarif Normal;45.0;143.0
TGV INOUI;VITRY LE FRANCOIS GARE;87174276;REIMS;87171009;1;Tarif Normal;9.0;33.0
TGV INOUI;PARIS NORD;87271007;VALENCE TGV RHONE-ALPES SUD;87763029;1;Tarif Normal;31.0;172.0
TGV INOUI;LYON PART DIEU;87723197;PARIS NORD;87271007;1;Tarif Normal;29.0;157.0
TGV INOUI;PARIS NORD;87271007;REIMS;87171009;1;Tarif Normal;17.0;70.0
TGV INOUI;LILLE EUROPE;87223263;LYON PART DIEU;87723197;2;Tarif Normal;30.0;128.0
TGV INOUI;LILLE FLANDRES;87286005;ALBERTVILLE;87741645;2;Tarif Réglementé;110.2;132.0
TGV INOUI;LILLE FLANDRES;87286005;MULHOUSE VILLE;87182063;1;Tarif Normal;31.0;190.0
TGV INOUI;NICE VILLE;87756056;PARIS NORD;87271007;1;Tarif Normal;31.0;227.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;TOULOUSE MATABIAU;87611004;1;Tarif Normal;31.0;200.0
TGV INOUI;MULHOUSE VILLE;87182063;LES ARCS DRAGUIGNAN;87755447;2;Tarif Réglementé;110.2;137.0
TGV INOUI;LAVAL;87478404;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Réglementé;120.0;120.0
TGV INOUI;LILLE FLANDRES;87286005;NICE VILLE;87756056;1;Tarif Normal;36.0;208.0
TGV INOUI;MULHOUSE VILLE;87182063;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;20.0;85.0
TGV INOUI;LILLE EUROPE;87223263;LYON PERRACHE;87722025;2;Tarif Réglementé;100.8;120.0
TGV INOUI;LILLE FLANDRES;87286005;ST AVRE LA CHAMBRE;87741306;1;Tarif Normal;51.0;193.0
TGV INOUI;MONTPELLIER SUD DE FRANCE;87688887;MONTBELIARD;87184523;2;Tarif Normal;25.0;99.0
TGV INOUI;MONTPELLIER SAINT-ROCH;87773002;SELESTAT;87214056;1;Tarif Normal;31.0;172.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;MARSEILLE ST CHARLES;87751008;2;Tarif Normal;25.0;131.0
TGV INOUI;MARSEILLE ST CHARLES;87751008;THIONVILLE;87191007;1;Tarif Normal;31.0;188.0
TGV INOUI;LILLE EUROPE;87223263;NARBONNE;87781104;1;Tarif Réglementé;203.0;203.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;MARSEILLE ST CHARLES;87751008;2;Tarif Réglementé;98.8;120.0
TGV INOUI;CHAMPAGNE-ARDENNE;87171926;THIONVILLE;87191007;2;Tarif Réglementé;45.7;54.0
TGV INOUI;LAMBALLE;87473108;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Normal;24.0;159.0
TGV INOUI;LILLE FLANDRES;87286005;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Réglementé;108.1;120.0
TGV INOUI;DIJON VILLE;87713040;MONTBELIARD;87184523;1;Tarif Normal;17.0;56.0
TGV INOUI;CLUSES  74;87746370;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Réglementé;179.0;179.0
TGV INOUI;LILLE EUROPE;87223263;ANNECY;87746008;2;Tarif Normal;25.0;133.0
TGV INOUI;MULHOUSE VILLE;87182063;LILLE EUROPE;87223263;2;Tarif Normal;25.0;140.0
TGV INOUI;SAVERNE;87212225;ST PIERRE DES CORPS;87571240;2;Tarif Normal;25.0;131.0
TGV INOUI;LILLE FLANDRES;87286005;BESANCON - F COMTE TGV;87300863;1;Tarif Normal;31.0;168.0
TGV INOUI;NIMES - MANDUEL;87688762;THIONVILLE;87191007;2;Tarif Normal;25.0;127.0
TGV INOUI;PARIS NORD;87271007;MOUTIERS SALINS BRIDES L BAINS;87741728;1;Tarif Normal;31.0;200.0
TGV INOUI;LILLE FLANDRES;87286005;MODANE;87742007;2;Tarif Normal;45.0;143.0
TGV INOUI;METZ VILLE;87192039;AVIGNON TGV;87318964;1;Tarif Normal;31.0;170.0
TGV INOUI;LILLE EUROPE;87223263;ANNECY;87746008;1;Tarif Normal;31.0;185.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;NICE VILLE;87756056;2;Tarif Normal;25.0;138.0
TGV INOUI;METZ VILLE;87192039;AVIGNON TGV;87318964;2;Tarif Réglementé;95.6;118.0
TGV INOUI;NIMES;87775007;PARIS NORD;87271007;2;Tarif Normal;25.0;129.0
TGV INOUI;DUNKERQUE;87281006;ARRAS;87342014;1;Tarif Réglementé;36.0;36.0
TGV INOUI;COLMAR;87182014;MOUTIERS SALINS BRIDES L BAINS;87741728;1;Tarif Normal;31.0;138.0
TGV INOUI;LES AUBRAIS;87543017;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Normal;13.0;66.0
TGV INOUI;CARCASSONNE;87615286;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Normal;30.0;120.0
TGV INOUI;CHAMPAGNE-ARDENNE;87171926;ARRAS;87342014;1;Tarif Normal;24.0;125.0
TGV INOUI;PARIS NORD;87271007;MONTPELLIER SUD DE FRANCE;87688887;1;Tarif Normal;31.0;177.0
TGV INOUI;LILLE FLANDRES;87286005;VIERZON VILLE;87576009;2;Tarif Normal;25.0;97.0
TGV INOUI;LYON PART DIEU;87723197;MONTBELIARD;87184523;1;Tarif Normal;17.0;78.0
TGV INOUI;PARIS NORD;87271007;SALLANCHES COMBLOUX MEGEVE;87746438;2;Tarif Normal;25.0;134.0
TGV INOUI;LILLE EUROPE;87223263;ANTIBES;87757674;1;Tarif Normal;36.0;219.0
TGV INOUI;ANGOULEME;87583005;MEUSE TGV;87147322;1;Tarif Réglementé;166.0;166.0
TGV INOUI;LYON-SAINT EXUPERY TGV;87762906;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Normal;29.0;157.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;MONTPELLIER SAINT-ROCH;87773002;2;Tarif Normal;25.0;129.0
TGV INOUI;METZ VILLE;87192039;MULHOUSE VILLE;87182063;2;Tarif Réglementé;41.6;52.0
TGV INOUI;CAEN;87444000;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Normal;17.0;75.0
TGV INOUI;LILLE FLANDRES;87286005;TOURS;87571000;2;Tarif Normal;41.0;104.0
TGV INOUI;MULHOUSE VILLE;87182063;MARSEILLE ST CHARLES;87751008;1;Tarif Normal;26.0;182.0
TGV INOUI;LILLE EUROPE;87223263;ST RAPHAEL VALESCURE;87757526;1;Tarif Normal;36.0;208.0
TGV INOUI;LILLE FLANDRES;87286005;CHAMBERY CHALLES LES EAUX;87741009;1;Tarif Normal;31.0;193.0
TGV INOUI;NIMES;87775007;THIONVILLE;87191007;2;Tarif Normal;25.0;139.0
TGV INOUI;MARSEILLE ST CHARLES;87751008;PARIS NORD;87271007;2;Tarif Normal;25.0;131.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;SETE;87773200;2;Tarif Normal;25.0;131.0
TGV INOUI;MACON VILLE;87725689;THIONVILLE;87191007;2;Tarif Réglementé;72.8;83.0
TGV INOUI;AIX EN PROVENCE TGV;87319012;SELESTAT;87214056;2;Tarif Normal;20.0;124.0
TGV INOUI;LILLE FLANDRES;87286005;BESANCON - F COMTE TGV;87300863;2;Tarif Normal;25.0;122.0
TGV INOUI;CHAMPAGNE-ARDENNE;87171926;ST PIERRE DES CORPS;87571240;1;Tarif Réglementé;118.0;118.0
TGV INOUI;LILLE EUROPE;87223263;ST MICHEL VALLOIRE;87742361;2;Tarif Normal;45.0;143.0
TGV INOUI;DUNKERQUE;87281006;LYON-SAINT EXUPERY TGV;87762906;1;Tarif Normal;31.0;168.0
TGV INOUI;MASSY TGV;87393702;CHAMPAGNE-ARDENNE;87171926;2;Tarif Réglementé;36.4;45.0
TGV INOUI;CHATEAUROUX;87597005;LILLE EUROPE;87223263;2;Tarif Normal;25.0;108.0
TGV INOUI;LILLE FLANDRES;87286005;CARCASSONNE;87615286;2;Tarif Normal;30.0;143.0
TGV INOUI;METZ VILLE;87192039;LES ARCS DRAGUIGNAN;87755447;2;Tarif Normal;25.0;134.0
TGV INOUI;DAX;87673202;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Normal;25.0;134.0
TGV INOUI;LILLE FLANDRES;87286005;BREST;87474007;2;Tarif Normal;50.0;129.0
TGV INOUI;METZ VILLE;87192039;NIMES - MANDUEL;87688762;2;Tarif Normal;25.0;120.0
TGV INOUI;RANG DU FLIERS VERTON;87317057;PARIS NORD;87271007;1;Tarif Réglementé;88.0;88.0
TGV INOUI;LILLE FLANDRES;87286005;SALLANCHES COMBLOUX MEGEVE;87746438;2;Tarif Normal;25.0;133.0
TGV INOUI;AIX EN PROVENCE TGV;87319012;THIONVILLE;87191007;2;Tarif Normal;25.0;143.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;QUIMPER;87474098;2;Tarif Normal;20.0;112.0
TGV INOUI;LAVAL;87478404;LILLE FLANDRES;87286005;1;Tarif Réglementé;141.0;141.0
TGV INOUI;ANGERS ST LAUD;87484006;STRASBOURG;87212027;1;Tarif Réglementé;196.0;196.0
TGV INOUI;BRIVE LA GAILLARDE;87594002;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Normal;29.0;133.0
TGV INOUI;RANG DU FLIERS VERTON;87317057;CALAIS FRETHUN;87281071;1;Tarif Normal;23.0;30.0
TGV INOUI;MARSEILLE ST CHARLES;87751008;THIONVILLE;87191007;2;Tarif Normal;25.0;143.0
TGV INOUI;STRASBOURG;87212027;LANDRY;87741777;2;Tarif Normal;25.0;117.0
TGV INOUI;DUNKERQUE;87281006;ST GERVAIS LES BAINS LE FAYET;87746479;1;Tarif Normal;31.0;175.0
TGV INOUI;METZ VILLE;87192039;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;25.0;96.0
TGV INOUI;MONTBARD;87713131;LILLE EUROPE;87223263;2;Tarif Normal;25.0;104.0
TGV INOUI;LILLE FLANDRES;87286005;BOURG ST MAURICE;87741793;1;Tarif Normal;31.0;193.0
TGV INOUI;METZ VILLE;87192039;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;25.0;119.0
TGV INOUI;LILLE EUROPE;87223263;SETE;87773200;1;Tarif Réglementé;203.0;203.0
TGV INOUI;LILLE FLANDRES;87286005;BOURG ST MAURICE;87741793;1;Tarif Réglementé;180.0;180.0
TGV INOUI;STRASBOURG;87212027;SAVERNE;87212225;2;Tarif Réglementé;11.3;11.3
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;BAYONNE;87673004;1;Tarif Normal;31.0;200.0
TGV INOUI;LILLE FLANDRES;87286005;POITIERS;87575001;1;Tarif Réglementé;154.0;154.0
TGV INOUI;STRASBOURG;87212027;THIONVILLE;87191007;2;Tarif Réglementé;35.3;43.0
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;PARIS NORD;87271007;2;Tarif Normal;25.0;116.0
TGV INOUI;MONTPELLIER SAINT-ROCH;87773002;BELFORT-MONTBELIARD TGV;87300822;2;Tarif Normal;20.0;136.0
TGV INOUI;ANGOULEME;87583005;CHAMPAGNE-ARDENNE;87171926;2;Tarif Réglementé;91.5;110.0
TGV INOUI;AVIGNON TGV;87318964;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Réglementé;168.0;168.0
TGV INOUI;GUINGAMP;87473207;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Normal;24.0;162.0
TGV INOUI;MULHOUSE VILLE;87182063;NIMES PONT DU GARD;87703975;2;Tarif Normal;20.0;130.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;MONTPELLIER SUD DE FRANCE;87688887;1;Tarif Réglementé;166.0;166.0
TGV INOUI;CULOZ;87741074;PARIS NORD;87271007;2;Tarif Normal;25.0;92.0
TGV INOUI;STRASBOURG;87212027;ST PIERRE DES CORPS;87571240;2;Tarif Normal;25.0;144.0
TGV INOUI;ANGOULEME;87583005;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Réglementé;82.1;102.0
TGV INOUI;LILLE FLANDRES;87286005;TOURCOING;87286542;1;Tarif Normal;7.0;12.5
TGV INOUI;CHAMPAGNE-ARDENNE;87171926;CHALONS EN CHAMPAGNE;87174003;2;Tarif Réglementé;9.6;11.7
TGV INOUI;ST JEAN DE MAURIENNE ARVAN;87742320;PARIS NORD;87271007;1;Tarif Normal;31.0;189.0
TGV INOUI;LA SOUTERRAINE;87592378;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Normal;24.0;112.0
TGV INOUI;MULHOUSE VILLE;87182063;LYON PART DIEU;87723197;1;Tarif Normal;24.0;117.0
TGV INOUI;RANG DU FLIERS VERTON;87317057;PARIS NORD;87271007;1;Tarif Normal;19.0;97.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;ST BRIEUC;87473009;2;Tarif Normal;20.0;102.0
TGV INOUI;STRASBOURG;87212027;CHALON SUR SAONE;87725002;1;Tarif Normal;24.0;114.0
TGV INOUI;PARIS NORD;87271007;LENS;87345025;1;Tarif Normal;17.0;74.0
TGV INOUI;ROUBAIX;87286732;ARRAS;87342014;1;Tarif Réglementé;35.0;35.0
TGV INOUI;MULHOUSE VILLE;87182063;ECOLE VALENTIN;87710731;1;Tarif Normal;17.0;55.0
TGV INOUI;AVIGNON TGV;87318964;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Réglementé;98.8;120.0
TGV INOUI;LILLE FLANDRES;87286005;AURAY;87476200;1;Tarif Normal;31.0;166.0
TGV INOUI;MULHOUSE VILLE;87182063;MONTBARD;87713131;2;Tarif Normal;48.0;50.0
TGV INOUI;LILLE EUROPE;87223263;FUTUROSCOPE;87324095;2;Tarif Normal;25.0;109.0
TGV INOUI;LILLE FLANDRES;87286005;GUINGAMP;87473207;1;Tarif Normal;54.0;169.0
TGV INOUI;STRASBOURG;87212027;LILLE EUROPE;87223263;1;Tarif Réglementé;164.0;164.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;TOULOUSE MATABIAU;87611004;2;Tarif Normal;25.0;134.0
TGV INOUI;NIMES;87775007;PARIS NORD;87271007;1;Tarif Normal;31.0;177.0
TGV INOUI;STRASBOURG;87212027;NANTES;87481002;1;Tarif Réglementé;204.0;204.0
TGV INOUI;PARIS NORD;87271007;ARRAS;87342014;2;Tarif Réglementé;35.3;52.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;MONTPELLIER SAINT-ROCH;87773002;1;Tarif Réglementé;166.0;166.0
TGV INOUI;STRASBOURG;87212027;LIBOURNE;87584052;1;Tarif Normal;36.0;241.0
TGV INOUI;PARIS NORD;87271007;ANNEMASSE;87745497;1;Tarif Normal;31.0;192.0
TGV INOUI;LILLE FLANDRES;87286005;LANDRY;87741777;1;Tarif Normal;31.0;193.0
TGV INOUI;STRASBOURG;87212027;SELESTAT;87214056;2;Tarif Réglementé;11.1;11.1
TGV INOUI;LANDRY;87741777;LILLE EUROPE;87223263;1;Tarif Normal;31.0;193.0
TGV INOUI;RIVES;87747246;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Normal;45.0;142.0
TGV INOUI;STRASBOURG;87212027;MOUTIERS SALINS BRIDES L BAINS;87741728;2;Tarif Normal;25.0;117.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;FUTUROSCOPE;87324095;2;Tarif Normal;20.0;88.0
TGV INOUI;BELFORT-MONTBELIARD TGV;87300822;ECOLE VALENTIN;87710731;1;Tarif Normal;14.0;38.0
TGV INOUI;METZ VILLE;87192039;BELFORT-MONTBELIARD TGV;87300822;2;Tarif Réglementé;47.8;56.0
TGV INOUI;DIJON VILLE;87713040;LILLE EUROPE;87223263;2;Tarif Normal;25.0;114.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;MORLAIX;87474338;2;Tarif Normal;20.0;110.0
TGV INOUI;STRASBOURG;87212027;VENDOME VILLIERS SUR LOIR;87571216;1;Tarif Normal;31.0;185.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;ALBERTVILLE;87741645;1;Tarif Réglementé;169.0;169.0
TGV INOUI;AIX EN PROVENCE TGV;87319012;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Réglementé;173.0;173.0
TGV INOUI;STRASBOURG;87212027;BELFORT-MONTBELIARD TGV;87300822;2;Tarif Réglementé;34.3;42.0
TGV INOUI;CANNES;87757625;SELESTAT;87214056;2;Tarif Normal;25.0;139.0
TGV INOUI;HAZEBROUCK;87286302;LENS;87345025;2;Tarif Normal;5.0;12.600000000000001
TGV INOUI;METZ VILLE;87192039;MONTPELLIER SAINT-ROCH;87773002;1;Tarif Normal;31.0;180.0
TGV INOUI;LA ROCHE SUR FORON;87746305;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Normal;50.0;157.0
TGV INOUI;LILLE FLANDRES;87286005;QUIMPERLE;87476317;1;Tarif Normal;31.0;175.0
TGV INOUI;PARIS NORD;87271007;SAVERNE;87212225;2;Tarif Normal;25.0;92.0
TGV INOUI;CLUSES  74;87746370;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Réglementé;93.6;123.0
TGV INOUI;LILLE FLANDRES;87286005;AIME LA PLAGNE;87741769;1;Tarif Réglementé;180.0;180.0
TGV INOUI;METZ VILLE;87192039;NIMES PONT DU GARD;87703975;1;Tarif Réglementé;165.0;165.0
TGV INOUI;MACON LOCHE TGV;87725705;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Normal;20.0;91.0
TGV INOUI;MONTPELLIER SUD DE FRANCE;87688887;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Normal;26.0;182.0
TGV INOUI;METZ VILLE;87192039;MONTPELLIER SAINT-ROCH;87773002;2;Tarif Normal;25.0;135.0
TGV INOUI;PARIS NORD;87271007;DOUAI;87345009;1;Tarif Normal;17.0;74.0
