Transporteur;Gare origine;Gare origine - code UIC;Destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
OUIGO;GRENOBLE;87747006;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;10.0;29.0
OUIGO TRAIN CLASSIQUE;CHALON SUR SAONE;87725002;PARIS AUSTERLITZ;87547000;2;Tarif Normal;10.0;49.0
OUIGO TRAIN CLASSIQUE;NANTES;87481002;ST PIERRE DES CORPS;87571240;2;Tarif Normal;10.0;49.0
OUIGO TRAIN CLASSIQUE;CHARTRES;87394007;PARIS BERCY;87686667;2;Tarif Normal;10.0;49.0
OUIGO TRAIN CLASSIQUE;NANTES;87481002;SAUMUR;87487603;2;Tarif Normal;10.0;49.0
OUIGO TRAIN CLASSIQUE;ANGERS ST LAUD;87484006;JUVISY;87545244;2;Tarif Normal;10.0;49.0
OUIGO TRAIN CLASSIQUE;NANTES;87481002;JUVISY;87545244;2;Tarif Normal;10.0;49.0
OUIGO TRAIN CLASSIQUE;VERSAILLES CHANTIERS;87393009;CHARTRES;87394007;2;Tarif Normal;10.0;49.0
TGV INOUI;IRUN;71116000;POITIERS;87575001;2;Tarif Normal;25.0;69.0
OUIGO TRAIN CLASSIQUE;DIJON VILLE;87713040;CHALON SUR SAONE;87725002;2;Tarif Normal;10.0;49.0
TGV INOUI;VALENCE TGV RHONE-ALPES SUD;87763029;VENTIMIGLIA STAZIONE;8345013;1;Tarif Normal;24.0;120.0
OUIGO TRAIN CLASSIQUE;MASSY PALAISEAU;87393579;CHARTRES;87394007;2;Tarif Normal;10.0;49.0
TGV INOUI;GUINGAMP;87473207;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20.0;109.0
TGV INOUI;CHAMPAGNE-ARDENNE;87171926;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15.0;47.0
TGV INOUI;GENEVE;8510082;AVIGNON CENTRE;87765008;2;Tarif Normal;20.0;66.0
TGV INOUI;IRUN;71116000;LILLE EUROPE;87223263;2;Tarif Normal;30.0;139.0
TGV INOUI;IRUN;71116000;MASSY TGV;87393702;1;Tarif Normal;31.0;199.0
TGV INOUI;BASEL SBB;85109;MARSEILLE ST CHARLES;87751008;2;Tarif Normal;25.0;130.0
TGV INOUI;IRUN;71116000;DAX;87673202;2;Tarif Normal;8.0;19.0
TGV INOUI;LE MANS;87396002;MARNE LA VALLEE CHESSY;87111849;1;Tarif Réglementé;86.0;86.0
TGV INOUI;TOULON;87755009;VENTIMIGLIA STAZIONE;8345013;1;Tarif Normal;17.0;58.0
TGV INOUI;LE MANS;87396002;MARNE LA VALLEE CHESSY;87111849;2;Tarif Réglementé;43.6;62.0
TGV INOUI;LE POULIGUEN;87481762;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25.0;98.0
TGV INOUI;LE MANS;87396002;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17.0;93.0
TGV INOUI;LE MANS;87396002;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15.0;66.0
TGV INOUI;CASTELNAUDARY;87615039;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31.0;171.0
TGV INOUI;PORNICHET;87481747;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25.0;98.0
TGV INOUI;ANTIBES;87757674;VENTIMIGLIA STAZIONE;8345013;1;Tarif Normal;7.0;21.0
TGV INOUI;ST JEAN DE MAURIENNE ARVAN;87742320;MARNE LA VALLEE CHESSY;87111849;1;Tarif Réglementé;164.0;164.0
TGV INOUI;STRASBOURG;87212027;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25.0;118.0
TGV INOUI;CLUSES  74;87746370;MARNE LA VALLEE CHESSY;87111849;2;Tarif Réglementé;93.6;123.0
TGV INOUI;AVIGNON CENTRE;87765008;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25.0;110.0
TGV INOUI;CAEN;87444000;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17.0;75.0
TGV INOUI;ANGERS ST LAUD;87484006;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24.0;125.0
TGV INOUI;AIX EN PROVENCE TGV;87319012;MARNE LA VALLEE CHESSY;87111849;2;Tarif Réglementé;98.8;120.0
TGV INOUI;LE CROISIC;87481788;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25.0;98.0
TGV INOUI;MODANE;87742007;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25.0;128.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MORLAIX;87474338;1;Tarif Normal;26.0;154.0
TGV INOUI;LE POULIGUEN;87481762;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;29.0;145.0
TGV INOUI;GUINGAMP;87473207;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24.0;154.0
TGV INOUI;LORRAINE TGV;87142109;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20.0;84.0
TGV INOUI;ST AVRE LA CHAMBRE;87741306;MARNE LA VALLEE CHESSY;87111849;2;Tarif Réglementé;86.3;113.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;VIERZON VILLE;87576009;1;Tarif Normal;22.0;86.0
TGV INOUI;CLUSES  74;87746370;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31.0;195.0
TGV INOUI;ST JEAN DE MAURIENNE ARVAN;87742320;MARNE LA VALLEE CHESSY;87111849;2;Tarif Réglementé;88.4;115.0
TGV INOUI;ST AVRE LA CHAMBRE;87741306;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31.0;170.0
TGV INOUI;AGEN;87586008;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31.0;190.0
TGV INOUI;VENDOME VILLIERS SUR LOIR;87571216;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15.0;61.0
