Transporteur ;Origine;Origine_uic;Destination ;Destination_uic ;Distance entre les gares;Train - Empreinte carbone (kgCO2e) ;Autocar longue distance - Empreinte carbone (kgCO2e);Avion - Empreinte carbone (kgCO2e);Voiture électrique (2,2 pers.) - Empreinte carbone (kgCO2e);Voiture thermique (2,2 pers.) - Empreinte carbone (kgCO2e)
TGV;Paris Montparnasse;87391003;Bordeaux Saint-Jean;87581009;537;1.9;17.6;129.7;27.6;63.4
Intercités;Paris-Austerlitz;87547000;Limoges-Bénédictins;87592006;400;3.0;11.8;90.0;18.4;42.3
TGV;Paris Montparnasse;87391003;Arcachon;87582668;595;2.1;19.5;139.9;30.6;70.2
Intercités;Bordeaux Saint-Jean;87581009;Toulouse-Matabiau;87611004;257;1.9;7.3;55.1;11.5;26.4
TGV;Paris Gare du Nord;87271007;Lille Europe;87223263;225;0.8;6.9;53.3;10.8;24.8
Intercités;Bayonne;87673004;Toulouse-Matabiau;87611004;321;2.4;9.0;61.4;14.1;32.3
TGV;Lille Europe;87223263;Bruxelles Midi Brussel Zuid;88140010;107;0.4;3.4;24.4;5.3;12.1
TER;Dijon Ville;87713040;Lyon Part-Dieu;87723197;192;5.8;5.8;45.5;9.1;21.0
TGV;Aéroport Charles de Gaulle 2 TGV;87271494;Lyon Part Dieu;87723197;442;1.5;15.0;104.0;23.5;53.9
TER;Marseille Saint-Charles;87751008;Nice Ville;87756056;224;6.8;6.2;41.6;9.7;22.4
TGV;Paris Gare du Nord;87271007;Valenciennes;87343004;237;0.8;6.4;48.9;10.0;22.9
TER;Arcachon;87582668;Bordeaux Saint-Jean;87581009;58;1.8;2.2;13.3;3.5;8.0
TGV;Aéroport Charles de Gaulle 2 TGV;87271494;Bruxelles Midi Brussel Zuid;88140010;291;1.0;8.7;62.7;13.6;31.2
TER;Chambéry-Challes-les-Eaux;87741009;Lyon Part-Dieu;87723197;107;3.3;3.3;22.6;5.1;11.8
TGV;Paris Gare de Lyon;87686006;Marseille Saint-Charles;87751008;750;2.6;23.3;172.1;36.4;83.7
TER;Belfort;87184002;Besançon-Viotte;87718007;96;2.9;3.0;20.0;4.7;10.7
TGV;Paris Gare de Lyon;87686006;Saint-Raphaël;87757526;909;3.2;26.3;180.7;41.2;94.7
International;Paris Est;87113001;Luxembourg;82001000;373;1.3;11.2;77.0;17.6;40.4
TGV;Paris Gare de Lyon;87686006;Toulon;87755009;812;2.8;25.2;181.0;39.4;90.6
International;Paris Nord;88194060;Amsterdam Centraal;84000588;545;2.9;15.3;112.1;23.9;55.0
Intercités;Paris-Austerlitz;87547000;Rodez;87613422;660;5.0;19.8;130.5;31.0;71.3
International;Paris Gare de Lyon;87686006;Lausanne;85011205;479;1.7;15.6;107.9;24.4;56.2
TER;Paris Saint-Lazare;87384008;Caen;87444000;239;7.3;7.5;51.7;11.7;26.9
International;Paris Gare de Lyon;87686006;Basel SBB;85000109;525;1.8;17.1;108.4;26.8;61.7
TER;Le Havre Gare locale;87413013;Rouen Rive Droite;87411017;88;2.7;2.8;18.7;4.3;9.9
International;Marseille Saint-Charles;87751008;Bruxelles Midi Brussel Zuid;88140010;1072;3.8;30.8;219.4;48.3;110.9
TER;Paris Saint-Lazare;87384008;Le Havre Gare locale;87413013;228;6.9;6.3;45.8;9.9;22.8
TER;Geneve;85010082;Lyon Perrache;87722025;162;4.9;4.5;29.4;7.1;16.2
TER;Paris Saint-Lazare;87384008;Cherbourg;87444877;371;11.3;11.2;78.0;17.5;40.2
International;Paris Nord;88194060;London St-Pancras;70154005;496;2.4;13.9;88.9;21.7;49.9
International;Paris Gare de Lyon;87686006;Torino Porta Susa;83002220;734;3.3;23.3;152.4;36.5;83.8
International;Aéroport Charles de Gaulle 2 TGV;87271494;Bruxelles Midi Brussel Zuid;88140010;310;1.1;8.6;62.7;13.5;31.0
International;Strasbourg;87212027;Bruxelles Midi Brussel Zuid;88140010;730;2.6;12.9;91.3;20.2;46.3
International;Paris Est;87113001;Stuttgart HBF;80290346;608;2.5;18.7;130.8;29.2;67.2
TGV;Massy-TGV;87393702;Bordeaux Saint-Jean;87581009;523;1.8;17.1;145.6;26.7;61.5
TGV;Paris Montparnasse;87391003;Vannes;87476606;489;1.7;13.9;103.7;21.8;50.1
